bank,review,rating,date,source,cleaned
CBE,"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,Google Play,suddenly the cbe application i was using stopped working and called callcenter i was told its because it expired and i should vist any branch to fix it so i went to cbe silassie branchafter filling a form they gave me i sat down and waited until they finish fixing 2 customers case who arrived before me but then when it was my turn ppl who came after me with same mobile banking and even atm card cases were finishing up and leaving i had to get back to my work so i leftwith no servicewhy
CBE,Best app,5,2025-10-16,Google Play,best app
CBE,still not perfect like before,1,2025-10-15,Google Play,still not perfect like before
CBE,This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,Google Play,this app dash board is disturbing me it is not showing me traxation and my balance while displaying others option on dashboard i think it is a risk full app
CBE,APPLIED,1,2025-10-14,Google Play,applied
CBE,10 years ago,4,2025-10-14,Google Play,10 years ago
CBE,Asefa Obsa,5,2025-10-14,Google Play,asefa obsa
CBE,it's good app,5,2025-10-14,Google Play,its good app
CBE,very slow,1,2025-10-14,Google Play,very slow
CBE,berhan deriba wami,4,2025-10-14,Google Play,berhan deriba wami
CBE,mahamad Usman,5,2025-10-13,Google Play,mahamad usman
CBE,Erako,5,2025-10-13,Google Play,erako
CBE,🔥🔥🔥🔥🔥,5,2025-10-13,Google Play,
CBE,opne,5,2025-10-13,Google Play,opne
CBE,mehommd nuri,5,2025-10-13,Google Play,mehommd nuri
CBE,Best,5,2025-10-12,Google Play,best
CBE,providing very secure service.,5,2025-10-12,Google Play,providing very secure service
CBE,apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,Google Play,apk apkwun
CBE,ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,Google Play,
CBE,RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,Google Play,riyad mohammed abaoli 92 527 2567
CBE,it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,Google Play,it doesnt show bank statement and no options to see transactions for the past months
CBE,Mamma Husen,2,2025-10-11,Google Play,mamma husen
CBE,3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,Google Play,3 stars because i cant see all my transaction history apart from the recents and a refresh button has been removed from the recents activity the app should allow clients to view all of the transactions not just recents
CBE,exceptional application from others bank,5,2025-10-10,Google Play,exceptional application from others bank
CBE,"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,Google Play,it is very nice but i have a serious suggestion when you send to other cbe birr customer it does not show the name of the recipient befor it actually send the money please improve this
CBE,good👍👍👍😊😊😊,5,2025-10-10,Google Play,good
CBE,really good app,5,2025-10-10,Google Play,really good app
CBE,smart bank CBE,5,2025-10-10,Google Play,smart bank cbe
CBE,Ali urgesa11,3,2025-10-09,Google Play,ali urgesa11
CBE,it's good,5,2025-10-09,Google Play,its good
CBE,Good apps,5,2025-10-09,Google Play,good apps
CBE,password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,Google Play,password
CBE,best app i ever seen,5,2025-10-09,Google Play,best app i ever seen
CBE,it's game changing in financial system,4,2025-10-09,Google Play,its game changing in financial system
CBE,"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,Google Play,zmkt 208r
CBE,will good updating,5,2025-10-09,Google Play,will good updating
CBE,"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,Google Play,service charge vat fee everything here is not yours they wanna take what you have everything is not fair
CBE,why removing screenshot feature why?,2,2025-10-08,Google Play,why removing screenshot feature why
CBE,very good application! thank you all who participate!,5,2025-10-08,Google Play,very good application thank you all who participate
CBE,application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,Google Play,application bank commercial ethiopia i am very happy to be able to appear in a great job on a pleasant job
CBE,user compatible app!,5,2025-10-08,Google Play,user compatible app
CBE,"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,Google Play,i am trying to access this app on my android phone but sometimes doesnt work so kindly try to improve it
CBE,what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,Google Play,what an amazing app you know how much it simplify life thanks cbe i proud of you
CBE,Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,Google Play,our commercial bank of ethiopia is good
CBE,Asledin Ibsa,5,2025-10-06,Google Play,asledin ibsa
CBE,terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,Google Play,terrible when showing history of transaction it shows in disorganised way
CBE,my bank,5,2025-10-05,Google Play,my bank
CBE,Data,5,2025-10-04,Google Play,data
CBE,"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,Google Play,lately i am facing a problem with the app and the problem is when log in and inter my pin it doesnt work at all and says cant sync why does it say that i was working fine a few day ago and also it says when i enter my pin change your pin to 6 digit pin and it doesnt allow me to change it please solve what is the problem with the app
CBE,excellent app with lots of features,5,2025-10-04,Google Play,excellent app with lots of features
CBE,very good 👍 mobile banking,5,2025-10-04,Google Play,very good mobile banking
CBE,so special,5,2025-10-04,Google Play,so special
CBE,wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,Google Play,wiiy ewdihiliw esimirt niho yitnehew metgeyot
CBE,woow cbe,5,2025-10-03,Google Play,woow cbe
CBE,cbe the best bank app,4,2025-10-03,Google Play,cbe the best bank app
CBE,This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,Google Play,this app cbe bank its simple and smart i like it
CBE,Rijalufaris,5,2025-10-02,Google Play,rijalufaris
CBE,its Best app But i hate the Repeatedly update request,5,2025-10-02,Google Play,its best app but i hate the repeatedly update request
