bank,review,rating,date,source,cleaned,sentiment,theme
CBE,mahamad Usman,5,2025-10-13,Google Play,mahamad Usman,POSITIVE,Other
CBE,Erako,5,2025-10-13,Google Play,Erako,POSITIVE,Other
CBE,🔥🔥🔥🔥🔥,5,2025-10-13,Google Play,,POSITIVE,Other
CBE,opne,5,2025-10-13,Google Play,opne,NEGATIVE,Other
CBE,mehommd nuri,5,2025-10-13,Google Play,mehommd nuri,POSITIVE,Other
CBE,Best,5,2025-10-12,Google Play,good,POSITIVE,Other
CBE,providing very secure service.,5,2025-10-12,Google Play,provide secure service,POSITIVE,Other
CBE,apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,Google Play,apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም,NEGATIVE,Other
CBE,ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,Google Play,ዳር ኑሮ ላለው ኣፍሪቻን ው,NEGATIVE,Other
CBE,RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,Google Play,RIYAD Mohammed Abaoli,POSITIVE,Other
CBE,it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,Google Play,bank statement option transaction past month,NEGATIVE,Other
CBE,Mamma Husen,2,2025-10-11,Google Play,Mamma Husen,POSITIVE,Other
CBE,3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,Google Play,star transaction history apart recent refresh button remove Recents activity app allow client view transaction recent,NEGATIVE,Other
CBE,exceptional application from others bank,5,2025-10-10,Google Play,exceptional application bank,POSITIVE,Other
